date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 10:54:00,60509.68,60511.19,60473.2,60507.86,0.19022,0.0,141.13564090186992,84.81766880045804,56.31797210141188,0.0,0.0,0
2024-08-09 10:55:00,60553.57,60574.96,60539.43,60550.2,0.01191,86.10800008784028,155.13023666702793,98.88018237377202,56.250054293255914,0.0,0.0,0
2024-08-09 10:56:00,60613.15,60613.15,60563.58,60566.9,0.02648,86.3770166199798,165.6589913358257,112.23594416618278,53.42304716964293,0.0,0.0,0
2024-08-09 10:57:00,60610.92,60619.95,60577.98,60619.95,0.1005,87.22342919061829,176.25207272778061,125.03916987850235,51.212902849278265,0.0,0.0,0
2024-08-09 10:58:00,60614.49,60614.49,60546.29,60554.95,0.00937,80.61443536409138,177.35773965621047,135.50288383404398,41.854855822166485,0.0,0.0,0
2024-08-09 10:59:00,60534.4,60567.57,60395.1,60415.76,0.06063,68.6234681904593,165.09935631344706,141.4221783299246,23.677177983522455,0.0,0.0,0
2024-08-09 11:00:00,60415.76,60539.12,60383.75,60530.99,0.28817,72.2971987003293,162.80587242595357,145.6989171491304,17.106955276823157,0.0,0.0,0
2024-08-09 11:01:00,60479.45,60528.7,60479.45,60520.96,0.2942,71.51231868385173,158.35353180269885,148.2298400798441,10.123691722854744,0.0,0.0,0
2024-08-09 11:03:00,60445.87,60498.84,60445.87,60474.29,0.07519,67.82272463026894,149.337669128603,148.4514058895959,0.8862632390071212,0.0,0.0,0
2024-08-09 11:04:00,60496.95,60645.47,60496.95,60645.47,0.01548,73.27017983274348,154.22748989244428,149.60662269016558,4.620867202278703,0.0,0.0,0
2024-08-09 11:05:00,60636.9,60636.9,60567.84,60574.75,0.09989,68.13793593255018,150.65948633258085,149.81719541864865,0.842290913932203,0.0,0.0,0
2024-08-09 11:06:00,60559.68,60559.68,60495.93,60499.25,0.03277,63.05960867658445,140.12433270211477,147.87862287534188,-7.754290173227105,0.0,0.0,Close Trade
2024-08-09 11:07:00,60488.2,60519.87,60469.41,60482.66,0.02054,61.96672392965623,128.95001766169298,144.0929018326121,-15.142884170919132,0.0,0.0,0
2024-08-09 11:08:00,60530.95,60579.43,60494.65,60560.93,0.1149,65.04472943676322,124.9694572435692,140.26821291480354,-15.298755671234346,0.0,0.0,0
2024-08-09 11:09:00,60537.93,60581.61,60476.76,60478.97,0.05658,59.60497303647066,113.88851153427822,134.99227263869847,-21.103761104420244,0.0,0.0,0
2024-08-09 11:10:00,60493.08,60507.92,60237.52,60312.34,0.48157,50.380065962056,90.61656248530926,126.11713060802063,-35.50056812271137,0.0,0.0,0
2024-08-09 11:11:00,60306.99,60359.67,60281.87,60338.81,0.06744,51.65995403965377,73.46245354397979,115.58619519521247,-42.12374165123268,1.157954436875398,0.0,Open Trade
2024-08-09 11:12:00,60343.49,60343.49,60276.46,60276.46,0.03358,48.48738025767629,54.21165646977897,103.31128745012577,-49.0996309803468,1.157954436875398,0.0,0
2024-08-09 11:13:00,60241.87,60245.52,60176.48,60204.44,0.34503,45.046127887480836,32.76614130943199,89.20225822198702,-56.436116912555036,1.157954436875398,1.157954436875398,0
